Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3
50,0,19.8567,43.9,18.89,44.2,20.2,44.29
50,0,23.2,41.0225,20.7386,43.79,24.6,39.4
100,0,20.89,35.03,19.4633,33.6567,20.79,35.03
50,0,25.29,48.59,23.6,49.4,26.6,44.59
70,0,17.89,35.73,16.7,37.1267,18.2,37.4
160,0,22.29,47.4267,21.73,41.3333,22.4267,41.6933
60,0,22.39,38.79,19.6667,42,22.23,37.8267
100,0,25.5667,48.4333,28.2,39,28.236,43.254
50,0,23.1,45.4,21.39,46.9667,24.89,42.2
40,0,23.5667,37.7,21.5,39.2,24.6333,38.23
50,0,21.29,37.5,19.4633,37.29,20.79,38.56
220,0,20,46.2233,19.5,45.1633,19.89,45.2
80,0,24.79,48.4,25.41,46.6843,26.1,43.09
60,0,21.6,37.29,18.5,41.4667,22.1333,36.9
130,0,23,39.03,21.29,39.79,22.7,37.9333
80,0,23.6,41.2,24.5,36.5,24.6,38.6267
110,0,22.5,40.2667,20.8233,41.56,22.1,38.5
50,0,21.1,39.3267,19.5,41.23,21.89,37.6633
60,0,22.6,36.3267,19.8567,38.06,23.6,34.245
140,0,22.4267,40.4,20.76,41.8267,22.0667,38.4667
60,0,22.2,38.8267,23.39,35.2,22.6,38.7
90,0,22.2,45.06,21.5,44.9,22.7,42.06
100,0,22.26,45.86,22,43.4667,22.3789,43.79
40,0,17.6667,43.06,16.89,42.7,18.39,43.6267
40,0,21.7,34.3267,19.7,34.7,21.0333,34.76
100,20,21.29,39.39,19.2,42,22.26,37.59
640,10,22.84,44.59,22.39,42.9633,23,46.3633
120,0,22.39,39.79,20.3567,40.29,22.5,38.3633
100,0,23,49.6,25.5667,43.5333,24.39,44.2967
60,0,20.6,36.36,17.5,40.5,21.6,34.925
60,0,21.5,38.2,18.8233,41.6267,22.7,38.2
50,0,21.89,40.09,18.6,45.1633,23.89,38.7
60,0,22.5667,42.09,24.6,36.8633,23.1,39.29
70,0,19.4633,39.89,18.7,36.7,20.0667,35.6333
70,0,21.79,39.7,20.9567,41.1,23.025,37.7225
120,0,25.5,48.29,24.89,46.7771,26.2,45.0257
60,0,24.79,38.79,22.1714,41.09,24.79,33.3267
60,0,20.9633,33.53,18.79,34.1267,22.6667,35
260,0,23.2054,51.6617,25.1,44.2876,25.9563,45.0086
30,0,22.2,39.09,19.6,41.56,22.4267,38.9
80,0,20.1667,39.7667,18.29,40.3267,20.2,39.2
50,0,22,40,21.1,39.59,20.5,41.79
230,0,23.469,50.841,25.1,44.0067,26.0303,44.4467
540,0,24.3651,48.0506,25.1,43.0514,26.2821,42.5362
130,30,23.2,42.7233,22.39,41,21.79,44.0267
200,0,20.1,42.1,18.7,42.4667,19.7,40.59
50,0,21.5,39.09,19,42.4667,22.6,38.29
50,0,21.29,40.2,20.4267,39.1267,21.23,42.73
30,0,20.29,40.7,18.7,40.4,20.26,40.59
50,0,24.8567,47.4667,24.5875,46.4125,26.1,43.4
50,0,20.29,35.59,17.7,37.6267,20.9633,36.03
100,0,21.2,35.93,19.2,37.4667,22.26,34.4
60,10,22.5333,37.7,19.4633,41.76,23.29,38.79
50,0,21.6,44.29,19.79,46.4667,23.1,41.7
80,0,19.79,35.76,19.1667,35.79,19.6,35.3267
60,0,21.79,40.9,19.4267,43,23,39
50,0,19.7,33.79,17.8233,34.5,19.89,35.812
70,0,21.29,41.7,20.7,40,22.5,43.09
80,0,20.89,42.4667,20.2,40.3267,21.79,41.29
70,0,22.89,37,21.7,36.1633,23.1,36.59
50,0,20,43.29,19.29,42.4333,19.79,44.29
30,0,21.79,37.4,19.1,40.06,22.2,37.2
50,0,19,39.9,17.79,40.4,19,39.79
100,0,21.29,43.03,20.5,42,22.1,41.59
80,0,22.6,43.8633,22.2,42.6633,22.39,43.4889
40,0,21.2,39.59,18.6,43.2,22.39,39
50,0,23.8233,40.3267,21.29,42.79,25.5,39.9
70,20,20.79,38.09,18.26,40.59,21,36.9
50,0,22.2,38.09,21.79,37.29,21.0333,39.8267
140,0,20.0333,36.7,18.1,37.76,21.9267,38.46
50,0,24.1,47.79,21.79,50.79,25.5,42.7
50,0,22.5,41.59,20.1,44.7,23.89,39.4
80,0,23,35.03,21.29,33.5,23.7,33.29
50,0,21.5,36.9,19.6333,39.3,22.7,35.76
100,20,20.1,40.06,18.8567,41.1633,20.5,38.75
50,10,19.8567,37.9333,19.5,37.1633,19.1667,39.36
50,0,21,35.5,17.79,38.29,21.5,35.09
50,0,23.23,40.73,21.39,41.7,24.79,39.29
230,0,21.5,41,19.53,44.3,22.3233,38.2
100,0,22.1,39,23.6667,35.6567,23.0333,37.6267
60,0,20.7,43.5,20.1,41.29,21,42.09
70,20,21.5,43.59,20.025,44.0225,21.3567,42.2
400,0,20.89,40.5,20.1,39.5,21.1,42.73
60,0,20.79,36.9,17.4267,41,20.7,37.53
60,0,19.39,42.1633,19,41.29,17.89,43.8267
50,10,20.79,36.73,20.1,35.5,20.39,36.8633
300,0,19.39,38.4633,16.2,43.06,20.2,37.29
120,0,21.1333,33.6667,19.7,32.06,23.8567,37.3933
50,0,22.1,41.6267,20.3567,43.59,23.4175,39.3475
410,0,21,37.7,18.79,39.495,21.6,35.7967
50,0,20.89,42.73,19,45.4,21.6,39.4
50,0,20.23,35.03,16.79,39.9,20.39,37.09
50,0,22.3567,39.4,20.5,40.9667,23.29,37.73
40,0,20.2,40.03,17.8567,42.09,20.9267,40.23
30,0,19.5667,37.2,17.2,39.79,20.1,38.8
50,0,20.7,40.09,19.1,41.59,20.6,38.59
60,0,22.2225,38.8725,19.6,41.26,24.8233,37.23
80,0,21.5,35.2,18.5,38.56,22.5667,34.56
270,0,22.2,46.5267,22.23,43.3267,24.8233,42.7233
50,0,21.9175,38.7,19.1,42.5,22.39,38.09
420,0,20.4633,41.63,18.89,39,21.2633,38.9633
110,0,23.6,33.26,22.4267,31.8267,23.1,35.1633
50,0,21.79,39.9,18.39,45.09,23.79,38.5
60,0,24.79,47.56,22.6,49.754,26.478,43.994
30,0,19.29,46.5,18.6,46.29,19.89,45.26
100,0,21.5,39.5,20.39,39.4333,21.1333,39.4
50,0,19.29,41.29,18.1,41.56,19.5667,40.6267
60,0,21.9633,39.6267,23.1,36.6633,22.2,37.9
60,0,21.3233,41.1633,21.675,39.875,22.29,38.4
120,0,19.89,37.5,18.39,36.4,20.39,35.79
170,0,22.5,40.9667,21.39,39.4,22.7,39.23
60,20,23.3567,44.9,22.39,43.8633,23.3233,44.8633
40,0,21.39,43.29,20.7,42.1267,22.7,42.2
30,0,20.5,40.09,17.2,46.29,20.9633,38.29
20,0,18.7,37.79,17.6,37.7,19.1,40.4
50,10,21.29,36.7,20.1,37.06,20.79,36.6333
280,0,21.9267,41.79,21.29,41.0667,20.5,44.2
60,20,21.7,38.5,20.0667,39.29,21.39,37.9
50,0,20.4267,43.1267,19.8233,41.23,20.89,41.79
110,20,19.6,36.53,18.79,36.03,18.5,38.4333
70,0,23.5,44.3267,22.9862,42.6,24.5,40.73
50,0,21.9633,39.09,19.23,42.9333,22.89,39
40,0,21.79,44.59,21,43.9333,22.2,44.77
100,20,21.2,45.1633,20.7,44.09,21.23,48.0267
70,0,21.29,36.26,19.5667,36.59,21.29,36.09
170,0,21.2,36.2,18,40,22.2,35.26
50,0,23.2,41.7,25.29,36,24.29,38.79
380,0,21.89,41.645,21.7,40.06,20.79,42.2
80,0,22.7,39.6633,21.79,38.1267,24.1667,37.06
60,0,21.29,37.2,18.3233,40.7,22.2,37.4
260,0,20.8186,37.8214,19.2643,37.2814,21.9214,39.0971
100,0,21.7129,36.9857,20.3471,37.3371,21.0625,37.2338
100,10,20.4267,55.8933,19.8567,45.8333,20.0333,47.5267
50,0,20.1,37.3233,19.1,35.73,20.0571,36.7686
180,0,20.39,39.9,17.1667,46.29,20.79,38.09
130,0,22.0667,39.7,21.0333,39.9667,22.7,37.7
50,0,22.1,37.5,19.2,40.8633,22.1,36.79
100,0,25.7,30.8567,26.39,27.9267,25.2,35.9333
60,20,21.6,43.59,20.1667,44.2,21.4267,42.29
50,0,22.2,38.7,19.5,41.29,24.79,37.23
60,0,22.1,43.79,19.6,47.5,24.6,41
50,0,20.89,36.5,20.1,35.5,20.4633,36.76
70,0,18.89,35.5,17.1333,36.76,19.3233,35.4333
50,0,21.6,37.4667,22.2,35.7,22.7,35.7
50,0,20.5,37.59,18.4633,39.3633,20.79,39.59
40,0,21.5,37.06,18.6,40.09,21.6,36.5
30,0,20.2,36.29,18.29,37.59,21.272,36.09
340,0,23,50.6933,25.3233,43.5633,25.7,46.2667
150,0,20.1,42.5633,18.3233,42.6333,21.39,39.09
40,0,19.79,37.8267,17.6,39.9667,20.1,36.9667
60,0,22.1,44.79,21.7,43.5,21.9206,44.5
50,0,19.23,38,17.5,39.79,20.5,37.5
70,0,22.6333,43.03,21.9633,40.59,22.5333,43.4
40,0,20.76,39,18.9633,40.03,21.29,38.5
60,20,24.5,40.09,22.39,40.76,25.2,38.9
70,30,21.79,42.26,19,47.1333,23.7,38.56
360,0,23.0333,37.5967,23,33.2967,23.2,35.6267
40,0,20.3567,38.23,18.3233,39.56,21,40
110,0,24.2,33.56,23.7,30.5667,23.6,34.3267
50,0,21.1,35.29,17.8567,39.3333,22.625,35.0225
60,0,21.89,38.7,22.1,36.29,22.2,36.9
70,0,19.5,38.7667,16.6,43.4,20,37
310,0,23.1333,38.1633,26.7,30.39,23.79,36.73
350,0,19,35.4333,17,36.9667,19.4267,35.53
70,0,22.89,36.29,21.5,36.4,22.89,37.6633
50,0,19.1,42.09,18.5,41.29,20.1,43.4667
50,0,21.2,37.09,18.29,40.23,21.39,36.56
120,0,23.3567,35.4667,21.5,35.2,22.79,35.09
110,20,20.2,38.23,18.23,39.6633,20.5333,38.5667
60,0,25.1,40.59,27.23,34.1633,26.39,37.79
430,50,20.1333,48,19.5667,44.4,19.89,44.9
110,0,21.1,37.79,19.2,37.9,21.8233,35.9333
60,0,23.5,30.26,24.79,25.6933,23.1,32.56
30,10,19.89,33.7233,18.9633,34.09,19.73,34.0667
110,0,24.7,40.9,23.6,39,25.5,38.3267
50,0,25.1,47.5,25.5,44.4,26.7,42
60,10,18.6,39,17.5,38.59,18.89,39.8267
60,0,21,36.29,17.5,40.09,22.29,36.2
150,10,22.89,44.99,21.5,44.1633,24.2,38.56
190,0,21,37.7,19.1,37.9333,21.76,35.9
50,0,19,43.79,18.1,44.1633,19.7,43.59
100,20,22.9267,44.56,22.3233,43.5267,21.7,44.5
120,0,21.39,39.795,18.6,44.56,22.89,37.2
50,0,22.2,34.09,20.6,34.09,20.6,35.7
270,10,22.1,42.03,21.39,41.56,20.6667,44.2233
60,0,21.1667,40.03,20.1333,40.56,21.79,37.79
30,0,19.89,46.8633,19.2,45.245,20.29,45.4333
100,20,22.2,38.8267,20.29,40.5,21.7,36.56
40,0,19.3567,37.3267,18.29,37.3267,19.1,40
100,20,23.5,34.9,23.1,32.7225,24.2225,34.55
60,30,20.76,44.6567,19.79,42.56,21.29,42.3328
40,0,19.6,37,16.4267,41.2,20.5,37.9667
320,0,22.39,37.8633,22.3567,35.29,24.86,36.1333
50,0,22.39,36.7,20.8329,37.4429,20.9214,37.9286
130,0,22.0333,43.0667,19.89,45.5,23.29,39.79
100,0,22.26,52.1933,21.2,43.0633,22.89,44.1511
60,0,20.7,39,18.79,40.09,21.23,38.5
50,0,23.7,34.9,22.1,34.93,23.6,35.5
60,0,25.29,46.8267,25.5,43.79,26.79,42.1267
100,20,24.4267,44.73,24.4725,40.7675,28.26,38.56
60,0,23.2,39.29,20.89,40.9229,25.5,37.59
100,10,20.29,41.2233,18.79,41.45,20.5,39.6633
270,0,24.29,38.1267,24.29,34.59,25.1,37.79
120,0,21.89,39.1633,20.76,37.1333,22.4267,36.4333
80,0,21.89,39.5,21.1,38.73,20.89,41.23
50,0,24.1,47.59,21.7,49.9,26.29,44.5
90,10,21.29,39.29,19.2,42,22.26,37.59
40,0,18.1,43.4,17.2,44.09,19.2,42.09
140,30,22,41.2933,19.73,41.5333,21.2,40.0267
50,0,22.29,39.09,19.7,41.2,24.89,37.2
50,20,22.5333,38.4,20.5333,40.26,22.1,38.2
30,0,19.7,46.09,18.79,45.9,19.79,45.2
40,20,20.79,37.79,19.26,39.26,22,34.8267
90,20,19.5667,38.8267,18.23,40.29,19.79,37.5
30,0,20.9267,37.2,18.3567,39.9,21.39,37.79
70,30,20.0667,38.5,18.5,39.3267,19.89,37.8267
50,20,22,38.6633,18.5667,42.59,22.4267,37.79
50,0,20.5333,37.7,17.7,40.7,20.1,38.09
150,30,22.89,34.7667,20.29,36.3633,21.8567,35.2
50,0,19.7,39.09,18.29,39.2,19.79,40.4
50,0,20.62,41.396,19.4267,38.4,20.6,38
40,0,21.29,40.4,19.2,41.03,21,40.5
50,10,21.575,47.0225,20.6667,46.9,21.6333,46.6267
20,0,21,39.09,18.5,43.09,21.79,37.4
60,0,24.76,44.79,22.39,46.1267,25.89,42.5
60,10,21.8233,39.9,20.23,40,20.3233,39.79
100,0,21.2,39.4,19.6,41,22,37.56
70,20,20.9267,40.6,19.23,41,20.39,41.76
70,10,17.79,37.7,16.89,36.9667,18.0667,38.4667
30,20,21.29,44.8267,20.7,44,20.2,45.59
50,0,22.1667,37.7,19.6,39.73,21.89,36.79
70,20,22.6,38.23,20.7,40.03,22.2,38.09
70,0,21.4267,43.9633,20.8233,42.3267,21.6,45.29
50,0,21.29,37.2,18.76,39.2,22.6667,36.56
50,0,20.73,35.09,21.3233,32.2233,21.5,35
50,0,20,36.9,16.73,41.2,20.29,37.53
130,0,22.9267,43.33,22.29,40.73,22.5,43.4667
50,0,19.6,37.7,17.3233,40.3333,20.39,36.03
40,0,20.2,46.4333,19.6,44.59,20.29,45.5
140,30,22.39,43.5667,20.7,44.56,23.0667,39.06
80,0,19.89,37.76,17.6,39.9,20.1,36.79
60,10,22.39,37.4,19.4633,40.5,22.2,36.6633
30,0,22.0667,45.2,21.7,43.73,22,44.575
50,0,20.23,33.4,18.39,33.56,19.76,35.06
100,0,21.7,42.73,20.8567,42.4333,22.39,39.1633
40,0,19.15,39.9,17.89,40.425,19,39.59
390,10,22.4967,43.1933,21.5594,38.9033,21.1933,43.7233
70,0,21.7,48.6633,21,46.43,22.29,46.93
420,10,24.26,42.5,25.3043,36.4543,26.1,37.09
50,0,20.39,37.5,17.5,40.53,20.2,38.09
40,0,21.89,38.09,20.1,39.5,22.39,37.4
50,0,24.1,40.4,21.7,42.245,25.39,39.7
50,0,24.89,47.73,23.39,48.42,26.5,43.6725
50,0,23.39,38.59,24.6333,34.6633,24.89,38.23
90,0,23,34.8633,23.1667,32.4,23.1,35.4333
50,0,21.2,43.5,19.6,44.29,21.7,42.5
220,20,21.5333,36,19.79,37.53,22.1,34.59
80,30,22.6333,38.3633,20.79,39.9667,22.29,38.09
80,0,23.4633,38.1333,22.1286,36.9714,24.39,35.7
60,0,22.4633,39.5,20.0333,42.03,23,39.7
60,0,22.39,37.7,19.39,41.9,23.39,38.9
60,10,22.7,41.345,20.89,42.7,23.39,39.73
70,0,21.89,41.9,23.6633,38.6933,23.1,38.59
40,0,20.29,39.4333,18,41.2,21.1,40.7
50,0,19.5,36.6633,16.7,39.9333,19.89,37.2
50,10,20.5,36.79,17.5,40.6267,20.2,36.79
50,0,20.5,40.29,18.6333,41.53,21.5,40.8633
60,10,20.79,43.59,20.2,42.29,22,46
60,0,21.7,44.53,19.9633,46.6633,23.1,41.79
60,0,19.6,33.73,17.6667,35.06,19.6,35.7
480,20,24.6,40.3933,23.89,37.8267,25.26,37.7
100,0,24.9267,31.39,23.7,29.9686,23.0333,28.86
160,30,20.4633,40.9,19.6667,38.79,22.6,40.49
50,0,18.79,37.7,17.79,37.59,19.1,40.29
90,0,21.39,38.59,19.7,39.9,20.8233,38.1267
180,20,25,40.09,27.6,33.23,26.29,37.7
60,0,24,44.7,21.6333,46.73,25.89,42.1633
30,10,23.7,41.4,22.39,40.7,24.5,38.5257
50,0,21.6,37.4,18.89,40.2,22.2,37.3267
80,10,20.6,37.7257,18.7,39.3633,20.6625,37.8088
100,10,21.2,47.96,19.6333,40.3,21.6,36.6933
60,10,21.89,38.7,18.39,42.7,22.39,37.7
130,10,23,45.0933,22.3567,42.03,21.79,45.49
40,0,22.5,38.4333,25.23,31.9633,23.2,37.59
50,0,21.39,45.9,20.79,43.9,22.39,45.1633
50,0,20.39,40.59,18.79,40.3633,20.29,40.53
30,0,20.0333,42.73,19.1333,42.29,20.8233,44.4667
50,0,20.5,34.93,18.79,35.26,19.956,36.754
70,0,21.2,35.89,18.1,38.5267,22.4633,36.2233
100,0,20,45.53,19.29,41.56,20.7,41.5
40,0,21.6,37.3633,17.89,43.09,23.23,37.73
60,0,18.175,46.3175,17.6333,46.06,18.89,43.4
50,0,21,39.03,19.6,38.23,22.66,38.418
50,10,22.2,42.6267,20.29,45,23.23,39.1967
40,0,21.2,39.4667,18.39,43.7,22.3233,38.4333
50,0,20.89,35.79,18.3567,36.9,21,35.59
40,0,24.39,39.5,22.5,40.09,25.79,37
500,0,19.7,40.03,18.1667,38.9633,20.9633,39.86
50,0,20.6,37.3633,18.7,39.2417,20.8025,38.4125
40,0,21.5333,35.3267,18.7,38.1633,20.4633,36.6633
50,0,22.8567,34.6333,20.29,36.29,23.5,36.9
150,0,20.1,42.16,19.1333,37.2,18.7,39.9
60,0,21.39,39.5267,18.5,43.59,22.2,38.4
50,0,22,41.2,19.29,44.5,24.4267,39.8267
40,0,18.6,40.5,17.3567,40.9,19,39.79
70,0,24.4267,32.6267,21.89,34.1686,23.945,34.045
100,0,21.6333,42.4333,21.29,41.43,22.6,39.9667
270,10,21.4267,40.8233,19.76,43.2667,23.8267,40.76
80,10,23.2,39.23,22.39,38.2,21.2,41.8633
80,0,22,36.7667,23.9,33.85,23.2,34.79
60,0,24.4633,39.09,22.6,39.8267,25.7,38.79
50,0,19.7,46.2,18.79,45.9,19.8233,45.2
40,0,17.73,40.79,16.7,41.4,18,40.045
510,10,19.445,38.45,16.2,43.0967,20.1333,37.29
30,0,19.9633,45.4,19.29,44.7,20.5,44.23
60,0,22.7,44.4667,20.39,46.9,24.5333,40.4
40,0,19.26,44.06,18.3567,44.2,19.79,43.9667
50,0,21.5,37.59,19.76,37.03,20.79,38.4667
50,0,22,38.09,20.2,39.3333,22.39,37.4333
70,0,21.5,40.4667,19,44.2,22.6667,38.5
60,0,21.7,48.6633,21,46.23,22.23,46.6567
70,10,21.6333,32.0233,19.73,30.3667,21.1,35.03
230,0,23,44.03,22.26,42.5267,22.34,44.2194
140,10,20.0333,41.7667,19.76,34.6,19.6,36.0267
60,10,20.79,37.09,18.6667,40,22,34.56
80,10,19.89,47.8333,19.5,45.3267,20,45.2
60,0,22.6,36.29,19.79,38,23.6,34.4
40,0,23.2,40.1633,22.26,39.7,21.6,43
60,0,22.1,43.9,19.5,47.6633,24.7,41
50,0,19.29,37,17,39.56,19.7,38.79
60,0,20.9633,43.8667,20.26,40.1267,22.39,44.9
60,0,19.79,41.06,17.9267,41.9,20.29,40.7
110,0,21.89,41.5,20.5333,42.5,23.0333,38.4
50,0,24.1,47.7,22,50.26,25.39,42.59
70,10,22.6667,42.03,21.8567,41.8633,22.445,43.6583
80,10,21.9267,40.43,21.13,38.8633,21.1,43.2667
60,0,20.89,36.9,20.9175,35.875,21.76,35.06
80,20,22,36.9667,20.39,37.9,20.79,38.2
20,10,22,36,18.5667,40.5,22.1,35.4333
70,0,21.5,36.3267,18.2,40,23.23,34.9267
210,0,23.7,39.6933,27.39,32.618,25.1667,37.43
80,0,20.79,43.4633,20,42.345,21.745,43.27
60,0,24.6,38.4,23.89,36.4667,26.2,37.7
60,10,21.79,48.7967,21.2,47.5267,22.39,46.09
60,0,24,47.76,21.7,50.8633,25.6333,42.9333
70,0,24,45.2,21.6,47.9,25.39,41.03
50,0,24.79,38.9,22.2,41.09,24.79,33.4
50,0,20.79,40.33,20.5,37.7,20.7,38.7233
100,10,23,49.8333,22.6,44.1267,22.29,46.6933
60,0,24,37.9,22,38.9667,24.39,37.59
70,0,21.7,40.79,19.3567,43.09,23,39
90,40,23.9633,46.6333,23,44.06,24.1,45.7
60,0,21.39,38.2,18.79,41.79,22.7,38.1175
200,10,22.1,42.3267,20.4267,44.06,23.7,38.1633
110,30,22.29,39.9667,20.8233,37.73,22.29,37.09
50,0,21.3567,41.7,18.73,44.5,22.89,39.5
140,10,21.79,37.96,19.89,37.6267,22.1667,34.8633
50,0,22,40.59,19.4633,44.06,22.89,39.7
90,0,24.89,51.9,23.6,51.36,26.1667,45.8633
330,10,18.1,36.7967,16.79,37.4,18.23,37.4
110,20,22.4267,41.8333,20.79,39.4,21,40.5667
50,0,22.1,39.5,20,41.79,22,38.23
60,0,25.29,48.9,23.89,48.978,26.39,44.79
80,0,21,39.76,19.445,39.745,22.6633,37.23
100,0,21.39,34.4667,20.2,34.59,20.89,34.79
90,0,22.29,39.5,20.6,40.7,22.23,37.9333
40,0,19.89,36.8633,19.23,36.1267,18.5,38.09
220,0,21.23,40.03,20.39,39.7,20.6333,42.23
120,30,19.2,44.8267,18.5333,43.9333,19.29,45.3333
120,0,22,34.9,22,32.09,22.39,34
50,0,22.6,39.09,20.39,39.59,24.79,36.09
50,0,19.89,36.9,16.9633,40.59,20.23,37.23
50,0,18.79,38.59,18,38.29,18.7,40.03
60,0,23.2,36.4,20.84,38.09,22.6,36.29
360,0,21.1333,34.9667,19.5,35.3267,21.23,34
70,20,24.39,44.56,23.2257,43.6843,26.76,39.09
40,0,17.9267,44.09,17.1667,44.5,19,42.09
30,0,19.89,37.3267,17.2,40.7,20.89,38
60,0,21.76,42.2,18.79,47.2233,23.79,38.79
60,0,24.89,48,24.8186,46,26,43.8862
260,0,22.2,45.76,20,49.1633,25,40.8267
80,20,24.0667,50.5667,23.2,43.7333,24.29,45.03
50,0,22.39,36.79,19.79,39.4,22.89,36.76
80,10,24.5333,32.2,22.254,33.054,24,33.6633
60,0,24.6,38.4,24,35.9667,26.1333,37.5
50,20,20.29,40.29,18.5,41.5,21.29,40.8267
110,0,21.79,41.9,21.5667,40.4,20.5667,41.8633
80,10,21.7,35.59,20.3567,35.9,21.0667,37.06
20,0,19.5,37.59,17.29,39.7233,20.29,35.8267
30,0,21.23,35.9,19.6333,37.29,21.79,35.7
390,0,20.6333,41.8333,19.39,39.4667,21.39,40.1633
60,20,20.79,36.53,18.2,39.76,19.89,37.59
140,0,21.79,42.09,20.3567,43.4633,23.89,38.29
40,0,23.6,35.4,20.29,38.5,24.2,36.59
130,10,23,44.03,22.39,40.8633,22.6,43.59
390,0,21.0857,38.3429,20.0929,36.4957,21.2087,40.4663
60,20,21.84,38.145,20.3233,38.8633,21.39,37.9
50,0,22.1667,41.5,19.6,44.23,24.29,39.59
60,10,20.5,34.4633,20.1333,36.2267,20.89,34.09
110,0,20.7,35.7233,16.7225,41.4475,21.445,35.145
50,0,22.1,41.7,21.3567,41.36,23.39,38.09
60,0,21.29,37.09,19.29,39.03,21.79,36.4667
40,10,20.5333,41.5,19.7,40.06,20.73,41.23
60,0,24,40.4,21.4267,42.6567,25.5,39.9
90,0,23.9267,37.9333,24.5,34.53,25.1,38.06
50,0,22.9267,41.7,20.29,45.09,24.6,38.59
50,0,23.29,35.73,21.2,36.9,23.79,36.79
180,20,22.79,37.8333,21.2,37,22.7,36.9
80,0,19.4633,37.03,16.26,41.4667,20.6,37.9333
110,0,22.2,43.29,19.945,45.845,23.29,38.6267
50,0,22,41.26,19.3567,44.5,24.5,39.9
30,0,20.8233,35.29,17.5,38.59,21.5,35.2
40,10,19.29,44.7967,18.79,44,19.5,44
50,0,21.79,42.2,19.1,45.7,23.5,39.09
110,10,22.39,37.86,21.89,37.1542,21.29,39.7
50,0,20.7,37.7,18.7,39.09,20.7,39.4
590,0,20.6975,35,19.3233,33.3633,21.6333,35.29
210,20,23.2,48.0933,22.79,43.7233,22.5389,45.3172
50,0,21.5,37.2,19,38.6267,22.6,36.29
20,0,20.1,39.5667,18.5,38.2667,20.39,35.9333
20,0,19.315,45.345,18.6,44.9,19.79,44.5
240,0,24.2675,38.1725,24.39,34.7,25.02,37.79
60,0,20.79,36.29,18.1,39.59,22,36.6633
50,0,21,39.1633,18.5,43.1633,21.79,37.4
50,0,22.29,37.4333,23.7,33.4667,22.79,36.09
60,0,23,34.59,20.5333,35.9667,23.39,36.7
120,20,21.7,45.9,20.0667,45.8633,21.79,42.7
100,0,21.3233,39.1567,19.2,42.09,22.29,37.59
130,20,21.9267,40.9667,21.39,39.9,21.8233,43.4933
70,10,20.76,36.8633,18.4633,39.9667,21.89,34.4
280,10,20.89,41.1333,19.23,38.6,20.6,36.7667
60,0,18.89,37.6633,17,39.93,19.39,37.4
110,0,24.7,32.09,22.5,31.79,24,33.4
100,0,18.9633,44.1567,18.6,43.0667,17.79,43.9667
30,0,19.5,44,18.76,43.7,20,44.9
110,0,22,37.3667,20.6,36.4,22.1,35.9667
20,0,21,45.79,20.4267,43.9,22.23,45.1567
70,0,21.6,42.59,20.46,43.8633,22.39,38.4333
40,0,18.39,42.3267,17.7,41.79,18.3233,43.5
130,0,21,39,19.6,40.4333,21.79,37.4
120,30,22.7,36.9667,21,38.09,22.2,36.2
270,0,25.7,47.2,27.89,38.79,28.374,42.834
390,10,19.6,38.8633,19.2,37.73,19.39,40.1267
370,0,20.79,35.26,19.29,33.4333,21.7633,35.6267
80,0,23.2,42.06,23.84,38.95,24.1,39.6633
80,10,20.4267,40.0267,17.3567,45.1567,20.79,38.06
130,10,22.2,40.3233,20.6,41.23,22.0333,38.5
150,20,24.39,39.09,23.89,37.29,25.2,37.6267
60,0,21.2,38.56,18.5,42.73,22.6,37.79
50,0,21.79,37.2,20.29,36.76,20.76,38.4
70,20,20.7,36.6633,18.0667,39.8633,19.9267,37.59
60,0,22,40.9,18.8567,46.4667,24.1,39.29
70,0,21.6,37.5,19.6,36.6633,21.7,39
50,0,20.6,35.5,18.6,37.29,19.89,37.29
40,0,19,34,16.89,35.8267,19.6,36.09
50,0,21.79,38.7,19,42.5,22.39,38.2
90,0,22.6667,42.53,20.1,44.09,24.23,39.1267
60,0,23.2225,34.345,21.29,34.9333,23.34,36.0675
50,0,21.39,41.09,21.76,39.5667,22.29,38.4
70,0,18,36.43,16.79,37.4667,18.29,37.3333
110,10,19.8233,44.5,19.5,43.8267,19.6,43.73
110,0,22.2,39.29,21.1,39.59,22.79,37.7
20,0,21.29,35.5,17.79,40.7,21.6,36.09
50,0,21.2,32.53,19.6667,32.59,20.23,34.5
90,10,22.9633,46.3267,21.9633,45.3267,21.89,46.7
50,0,25,44.1633,23.29,45.5,26.6,40.4
60,0,21.73,36.5,20,38.29,22.7,34.2
90,10,21.8567,47.4,21.29,45.2,22.39,45.56
80,20,22.1667,39.8267,20.6,40.86,22.2,38
590,30,19.8567,47.6633,18.7,34.1,18.4267,37.8333
180,0,22.9267,43.5,21.23,42.6267,26.3267,43.73
40,0,22.2,39.4,19.79,42.29,23.1,39.79
60,10,20,38.5267,18.245,36.845,20.29,35
50,0,21,37.9,18.1667,41.59,23.2,36.5
80,0,22.5667,32.4667,25.5667,25.7267,22.6667,32.4667
50,0,22.175,37.7,23.7,33.5,22.79,36.06
130,0,26,38.73,25.1,36.4633,28.6286,34.5529
50,0,20,39.89,19,38.09,20.39,37.03
40,0,20.23,46.5,19.6,44.59,20.29,45.5
50,0,20.89,43.59,20.3933,44.66,21.6,40.09
50,0,21.89,34.9,19.39,36.9667,22.89,36.53
130,20,22.79,41.79,21.79,40.93,21.89,43.1633
50,30,21.6,38.8175,19.73,39.3633,20.9267,39.0667
